battery_id,member,rows,start_time_days,time_resets,non_increasing_time,median_sample_interval_s,discharge_rows,reference_discharge_runs,regular_discharge_runs,other_discharge_runs,discharge_current_null_rate,discharge_voltage_null_rate,temperature_battery_null_rate,temperature_battery_invalid_rate
battery00,battery_alt_dataset/regular_alt_batteries/battery00.csv,1101244,17,0,0,0.9480000000003201,106006,9,166,0,0.0,0.0,0.0,0.0
battery01,battery_alt_dataset/regular_alt_batteries/battery01.csv,4918193,74,0,0,0.9589999999998327,748968,44,847,0,0.0,0.0,0.0,0.0
battery02,battery_alt_dataset/recommissioned_batteries/battery02.csv,2069667,27,0,0,0.9470000000001164,260562,20,396,0,0.0,0.0,0.0,0.0
battery03,battery_alt_dataset/recommissioned_batteries/battery03.csv,2161444,36,0,0,0.9700000000002547,343327,22,419,0,0.0,0.0,0.0,4.626536704166289e-07
battery10,battery_alt_dataset/regular_alt_batteries/battery10.csv,907341,14,0,0,0.9479999999994106,89844,8,140,0,0.0,0.0,0.0,0.0
battery11,battery_alt_dataset/regular_alt_batteries/battery11.csv,4914864,74,0,0,0.9510000000009313,759722,43,841,0,0.0,0.0,0.0,0.0
battery12,battery_alt_dataset/recommissioned_batteries/battery12.csv,3041084,42,0,0,0.9649999999996908,490685,33,600,0,0.0,0.0,0.0,0.0
battery13,battery_alt_dataset/second_life_batteries/battery13.csv,1736149,39,0,0,0.9700000000002547,240239,17,307,0,0.0,0.0,0.0,0.0
battery20,battery_alt_dataset/regular_alt_batteries/battery20.csv,207391,5,0,0,0.9500000000007276,18927,2,31,0,0.0,0.0,0.0,0.0
battery21,battery_alt_dataset/regular_alt_batteries/battery21.csv,530718,7,0,0,0.9500000000007276,46680,4,78,0,0.0,0.0,0.0,0.0
battery22,battery_alt_dataset/regular_alt_batteries/battery22.csv,2690545,43,0,0,0.955999999998312,312623,23,431,0,0.0,0.0,0.0,1.7096907875541943e-05
battery23,battery_alt_dataset/regular_alt_batteries/battery23.csv,1344130,19,0,0,0.9689999999991414,160601,13,240,0,0.0,0.0,0.0,0.0
battery24,battery_alt_dataset/recommissioned_batteries/battery24.csv,3285619,44,0,0,0.9710000000000036,489761,33,618,0,0.0,0.0,0.0,0.0
battery25,battery_alt_dataset/recommissioned_batteries/battery25.csv,2169910,36,0,0,0.9700000000002547,341804,22,416,0,0.0,0.0,0.0,0.0
battery30,battery_alt_dataset/regular_alt_batteries/battery30.csv,597316,9,0,0,0.9479999999994106,45671,4,77,0,0.0,0.0,0.0,0.0002293593340878195
battery31,battery_alt_dataset/regular_alt_batteries/battery31.csv,3341603,53,0,0,0.9579999999987194,381837,27,536,0,0.0,0.0,0.0,0.0
battery32,battery_alt_dataset/recommissioned_batteries/battery32.csv,1829938,26,0,0,0.9710000000013679,213213,17,340,0,0.0,0.0,0.0,0.0
battery33,battery_alt_dataset/recommissioned_batteries/battery33.csv,2353426,32,0,0,0.946999999999985,296585,25,455,0,0.0,0.0,0.0,0.0
battery36,battery_alt_dataset/second_life_batteries/battery36.csv,3394365,74,0,0,0.9459999999999127,630138,36,684,0,0.0,0.0,0.0,0.0
battery40,battery_alt_dataset/regular_alt_batteries/battery40.csv,753257,11,0,0,0.9479999999994106,62382,6,136,0,0.0,0.0,0.0,0.0
battery41,battery_alt_dataset/regular_alt_batteries/battery41.csv,2926443,46,0,0,0.955000000000382,258623,21,466,0,0.0,0.0,0.0,0.0
battery50,battery_alt_dataset/regular_alt_batteries/battery50.csv,791869,12,0,0,0.9470000000001164,78173,9,124,0,0.0,0.0,0.0,0.0
battery51,battery_alt_dataset/regular_alt_batteries/battery51.csv,1822787,29,0,0,0.9539999999999509,196868,16,292,0,0.0,0.0,0.0,0.0
battery52,battery_alt_dataset/regular_alt_batteries/battery52.csv,1510563,23,0,0,0.9680000000007567,172410,13,249,0,0.0,0.0,0.0,0.0
battery53,battery_alt_dataset/recommissioned_batteries/battery53.csv,1139972,16,0,0,0.9680000000007567,137160,11,199,0,0.0,0.0,0.0,0.0
battery54,battery_alt_dataset/second_life_batteries/battery54.csv,1989458,46,0,0,0.9760000000005675,479206,18,343,0,0.0,0.0,0.0,0.0
